production_budget,worldwide_gross,title_year,aspect_ratio,duration,duration.1,cast_total_facebook_likes,budget,imdb_score,gross
140000000,268314513,2014,2.35,150,150,26489,140000000,6.1,65007045
140000000,118515678,2016,2.35,117,117,1950,140000000,6.8,52792307
140000000,133553464,2016,2.35,126,126,19769,140000000,5.5,31141074
139000000,821706375,2002,1.85,121,121,40484,139000000,7.3,403706375
138000000,184068357,2009,2.35,215,215,2530,130000000,7.7,107503316
138000000,76416746,2005,2.35,121,121,2705,135000000,5,31704416
137500000,263417913,2008,2.35,135,135,5811,150000000,6.8,134518390
137000000,245229234,2003,1.85,138,138,1814,137000000,5.7,132122995
137000000,85131830,2001,1.85,106,106,15015,137000000,6.4,32131830
135000000,573068425,2013,2.35,98,98,43286,135000000,7.3,187165546
135000000,532037894,2015,2.35,156,156,57108,135000000,8.1,183635922
135000000,361730660,1999,2.35,128,128,2037,135000000,6.4,126930660
135000000,245504574,2011,2.35,107,107,43291,135000000,7.2,123207194
135000000,212912137,2003,2.35,138,138,1205,150000000,7.4,93926386
135000000,286896578,2013,2.35,96,96,17416,135000000,6.5,83024900
135000000,237177349,2016,2.35,112,112,8306,135000000,6.3,81638674
135000000,157956466,2011,2.35,100,100,62644,135000000,5.9,63992328
135000000,163818556,2002.130733,1.33,60,60,1687,1500000,7.5,48319332.87
132000000,606836535,2005,1.85,116,116,12758,132000000,6.5,234277056
132000000,367650911,2014,1.85,92,92,19963,132000000,6.7,83348920
130000000,864868047,2013,2.35,146,146,49355,130000000,7.6,424645577
130000000,796688549,2004,2.35,142,142,33284,130000000,7.8,249358727
130000000,442161562,2007,2.35,115,115,17369,110000000,8.1,227137090
130000000,631910531,2008,2.35,92,92,12754,130000000,7.6,215395021
130000000,518602163,2015,1.85,117,117,5730,130000000,7.4,180191634
130000000,554987477,2011,2.35,90,90,5046,130000000,6.7,149234747
130000000,321887208,2010,2.35,95,95,46120,130000000,7.3,148337537
130000000,273271982,2003,2.35,147,147,12954,130000000,6.6,138396624
130000000,493738435,2014,2.35,101,101,1031,103000000,6.4,131536019
130000000,290650494,2010,2.35,101,101,12406,110000000,6.4,118311368
130000000,373993951,2011,2.35,107,107,4631,135000000,7.4,77564037
130000000,251499665,2013,2.35,100,100,14168,130000000,4.9,60522097
130000000,215080810,2008,2.35,165,165,921,130000000,6.6,49551662
130000000,79072464,2013,2.35,96,96,31549,130000000,5.6,33592415
127500000,356148063,2000,1.85,82,82,2945,127500000,6.5,137748063
127000000,356546621,2014,1.85,98,98,53587,127000000,6.2,113733726
125000000,1341511219,2011,2.126976154,108.5771861,108.5771861,11036,40455386.33,7.5,48319332.87
125000000,766652288,2014,2.35,123,123,81385,125000000,6.7,337103873
125000000,974755371,2001,2.35,159,159,13191,125000000,7.5,317557891
125000000,634954103,2003,2.35,143,143,48184,140000000,8.1,305388685
125000000,960283305,2010,2.126976154,108.5771861,108.5771861,14719,40455386.33,6.4,48319332.87
125000000,767820459,2006,2.35,174,174,16008,125000000,6.6,217536138
125000000,629969804,2011,2.35,132,132,55345,125000000,7.3,209805005
125000000,535663443,2011,2.35,129,129,22403,125000000,7.5,186830669
125000000,556319450,2004,2.35,124,124,20553,125000000,6.4,186739919
125000000,399005706,2012,2.35,124,124,24098,130000000,7,126464904
125000000,280355920,2012,2.35,135,135,12175,125000000,6.7,113165635
125000000,238317814,1997,1.85,125,125,2699,125000000,3.7,107285004
125000000,61698899,1999,2.35,102,102,1815,85000000,6.6,32694788
123000000,345141403,2000,1.85,110,110,4146,123000000,6,260031035
120000000,328711434,2000,2.35,130,130,2684,140000000,6.4,182618434
120000000,288215319,2007,2.35,92,92,15302,130000000,5.6,131920333
120000000,607987022,2012,1.85,127,127,2121,120000000,8,124976634
120000000,229545589,2007,2.35,123,123,14017,110000000,5.2,115802596
120000000,200421835,2016,2.35,123,123,13752,120000000,7.1,108521835
120000000,227200000,2003,2.35,107,107,4046,120000000,4.8,100685880
120000000,286192091,2013,2.35,109,109,17689,115000000,6.6,93050117
120000000,287916633,2013,2.35,124,124,22004,120000000,7,89021735
120000000,166000000,2002,1.85,77,77,2682,120000000,5.4,64736114
120000000,107212751,2004,2.35,134,134,17159,105000000,6.7,57637485
120000000,93394462,2008,2.35,135,135,902,120000000,6.1,43929341
120000000,49628177,2010,1.85,121,121,993,120000000,5.3,30212620
117000000,258751370,2010,2.35,117,117,12731,117000000,6.3,76418654
115000000,1027044677,1999,2.35,136,136,37723,115000000,6.5,474544677
115000000,848998877,2005,2.35,140,140,44042,113000000,7.6,380262555
115000000,656695615,2002,1.78,142,142,42990,115000000,6.7,310675583
115000000,559757719,2001,1.85,92,92,15013,115000000,8.1,289907418
115000000,416456852,2013,2.35,138,138,23755,120000000,6.7,132550960
115000000,178200000,1997,2.35,108,108,1569,116000000,5.8,67155742
115000000,164602163,2016,2.35,120,120,46719,115000000,6.1,47952020
115000000,77628265,2002,2.35,153,153,15046,115000000,6,40911830
113500000,132999811,2008,2.35,116,116,1609,78000000,5.1,48319332.87
112000000,232017848,2010,2.35,85,85,1173,112000000,4.9,42776259
110000000,716392705,2013,2.35,91,91,87,100000000,7.8,274084951
110000000,579446407,2006,1.85,108,108,55486,110000000,6.4,250863268
110000000,486124090,2005,2.35,126,126,22722,120000000,6.5,186336103
110000000,469590832,2015,2.35,114,114,16718,110000000,6.1,155181732
110000000,563749323,2011,1.78,103,103,692,110000000,5.5,142614158
110000000,382288147,2007,2.35,129,129,13961,110000000,7.2,134520804
110000000,362989076,2004,2.35,125,125,19359,110000000,6.4,125531634
110000000,339504276,1997,2.35,119,119,2958,110000000,6.5,125332007
110000000,215300000,2000,2.35,142,142,19454,110000000,7.1,113330342
110000000,330780051,2014,2.35,102,102,10583,110000000,6.2,106369117
110000000,208370892,2004,2.35,170,170,34582,110000000,7.5,102608827
110000000,229155503,2011,2.35,119,119,13391,120000000,5.8,98780042
110000000,263880341,2011,2.35,127,127,22254,110000000,7.1,85463309
110000000,348547523,2013,1.85,105,105,914,105000000,5.4,71017784
110000000,152364370,2009,2.35,106,106,19906,100000000,6.4,65452312
110000000,89737191,2013,2.35,114,114,12908,110000000,6.7,61656849
110000000,76482461,2004,1.78,76,76,13607,110000000,5.4,50026353
110000000,150468000,1997,2.35,121,121,2027,160000000,3.7,48068396
109000000,887217688,2001,2.35,171,171,22342,93000000,8.8,313837577
109000000,133818283,2003,1.85,82,82,2762,109000000,3.8,100446895
109000000,87683966,2001,2.35,165,165,14196,107000000,6.8,58183966
108000000,640055863,2015,2.35,151,151,14831,108000000,8.1,228430993
105000000,348629585,2004,2.35,115,115,12068,120000000,7.1,144795350
105000000,298815224,1999,1.85,84,84,3382,133000000,5.9,140015224
105000000,270997378,2009,1.85,97,97,2480,105000000,7.1,104374107
105000000,269065678,2002.130733,2.126976154,22,22,5,40455386.33,7.2,48319332.87
105000000,10364769,2001,1.85,104,104,3133,90000000,4.4,6712451
103300000,232643008,2000,2.35,127,127,29069,90000000,6.5,101643008
103000000,457683805,2000,2.35,171,171,6521,103000000,8.5,187670866
102500000,212282709,2009,2.35,140,140,64599,100000000,7,97030725
102000000,358824714,2002,2.35,145,145,12546,102000000,7.7,132014112
102000000,130673154,2012,2.35,172,172,22686,102000000,7.5,27098580
100000000,878979634,2002,2.35,174,174,35672,100000000,7.4,261970615
100000000,513815401,1991,2.35,153,153,2829,102000000,8.5,204843350
100000000,336529144,1995,1.85,121,121,2880,100000000,5.4,184031112
100000000,331323410,2004,2.35,131,131,13679,100000000,6.9,173005002
100000000,449948323,2012,2.35,165,165,40978,100000000,8.5,162804648
